choice_sex,sweet_sex,bitter_sex,choice_wt,sweet_wt,bitter_wt,choice_learn,sweet_learn,bitter_learn
0.545099394,0.800417827,0.657148292,0.510691902,0.669106187,0.738229555,0.426703872,0.753671234,0.835872644
0.54143386,0.890852246,0.753671234,0.684830813,0.881189179,0.753671234,0.636967204,0.584840254,0.753671234
0.678750913,0.753671234,0.771483672,0.527794976,0.669106187,0.753671234,0.796815474,0.753671234,0.623731064
0.651636485,0.741144614,0.773525066,0.549868467,0.669106187,0.835872644,0.426703872,0.669106187,0.684830813
0.426703872,0.915600728,0.771483672,0.651636485,0.773525066,0.771483672,0.695566577,0.835872644,0.876608978
0.535483739,0.773525066,0.771483672,0.436558338,0.890852246,0.510691902,0.503675184,0.753671234,0.510691902
0.42767359,0.753671234,0.753671234,0.594235372,0.669106187,1,0.545612616,0.835872644,0.753671234
0.508762243,0.753671234,0.835872644,0.519434382,0.773525066,0.771483672,0.344547971,0.753671234,0.584840254
0.307898724,0.753671234,0.835872644,0.5568429,0.915600728,0.753671234,0.463841086,0.753671234,0.771483672
0.654432445,0.771483672,0.586202181,0.512817138,0.771483672,0.82786617,0.543134402,0.753671234,0.753671234
0.508762243,0.753671234,0.753671234,0.735830207,0.753671234,0.823718234,0.636967204,0.890852246,0.773525066
0.763962737,0.753671234,0.738229555,0.470753983,0.771483672,0.474732472,0.460769767,0.835872644,0.771483672
0.913312297,0.669106187,0.835872644,0.476817787,0.669106187,0.753671234,0.549868467,0.890852246,0.753671234
0.468960093,0.753671234,0.835872644,0.558502627,1,0.753671234,0.509750164,0.881189179,0.835872644
0.711882678,0.669106187,0.584840254,0.526628747,0.890852246,0.651326772,0.565646212,0.773525066,0.753671234
0.53367727,0.753671234,0.684830813,0.585085028,0.881189179,0.669106187,0.695566577,0.800417827,0.684830813
0.519434382,0.881189179,0.771483672,0.485713445,0.753671234,0.657148292,0.510691902,0.835872644,0.771483672
0.5568429,0.741144614,0.669106187,1,0.881189179,0.684830813,0.695566577,0.749886533,0.753671234
0.913312297,1,0.650795277,0.636967204,1,0.835872644,0.426703872,1,0.771483672
0.461995309,0.753671234,0.753671234,0.510691902,0.726881098,0.771483672,0.526628747,0.753671234,0.778233264
0.443951468,1,0.622511209,0.545612616,0.753671234,0.753671234,0.510691902,0.915600728,1
0.575122142,0.776319813,0.753671234,0.678750913,0.741144614,0.771483672,0.510691902,0.669106187,0.753671234
0.382297559,0.753671234,0.773525066,0.525575622,1,0.773525066,0.524222786,1,0.753671234
0.48418976,0.881189179,0.726881098,0.8278482,0.881189179,1,0.452654272,0.776319813,0.771483672
0.885903887,0.753671234,0.753671234,0.524222786,0.936828075,0.559930409,0.695566577,0.835872644,0.771483672
0.536050265,0.669106187,0.835872644,0.695566577,0.835872644,0.649173594,0.508762243,0.881189179,0.666361255
0.503675184,0.753671234,0.684830813,0.735830207,0.753671234,0.835872644,0.587034284,0.890852246,0.545099394
0.519434382,0.669106187,1,0.344547971,0.771483672,0.554573525,0.496511317,0.669106187,0.666361255
0.519434382,0.650795277,0.771483672,0.35782636,0.753671234,0.771483672,0.678750913,0.753671234,0.835872644
0.464825948,0.773525066,0.771483672,0.558502627,1,0.771483672,0.530205893,0.684830813,0.623731064
0.422445165,0.881189179,0.623731064,0.5568429,0.835872644,0.689977794,0.666361255,1,0.559930409
0.461995309,0.835872644,0.753671234,0.496511317,0.881189179,0.771483672,0.379060246,0.915600728,0.465079797
0.373443035,1,0.604322934,0.535483739,0.669106187,0.559930409,1,0.881189179,0.771483672
0.512817138,0.669106187,0.650795277,0.59526038,0.890852246,0.771483672,0.501367592,0.669106187,0.669106187
0.630652083,1,0.835872644,0.695566577,0.753671234,0.753671234,0.510691902,0.684830813,0.753671234
0.544334595,0.753671234,0.771483672,0.307898724,0.753671234,0.669106187,0.584840254,1,0.753671234
0.468960093,0.753671234,0.753671234,0.634817633,0.753671234,0.753671234,0.695566577,0.881189179,0.753671234
0.501367592,0.881189179,0.778233264,0.564018291,0.726881098,0.510691902,0.519434382,0.890852246,0.753671234
0.684830813,0.890852246,0.584840254,0.530205893,0.881189179,0.753671234,0.467951999,0.771483672,0.738229555
0.496511317,1,0.771483672,0.480906739,0.753671234,0.771483672,1,0.669106187,0.669106187
0.544334595,0.738229555,0.773525066,0.512817138,0.753671234,0.771483672,0.463841086,0.835872644,0.345430127
0.460348269,0.669106187,0.773525066,0.464180446,0.657927206,0.527686383,0.511690768,1,0.723693864
0.508762243,0.773525066,0.753671234,0.525575622,0.802779968,0.835872644,0.526628747,0.835872644,0.738229555
0.352472304,0.881189179,0.835872644,0.525575622,0.915600728,0.753671234,0.633469632,0.771483672,0.771483672
0.512157433,1,0.669106187,0.651636485,0.684830813,0.753671234,0.438438438,0.753671234,0.771483672
0.886029885,0.726881098,0.876608978,0.496995467,0.881189179,0.666361255,0.584840254,0.753671234,0.753671234
0.519434382,0.753671234,0.771483672,0.584840254,0.650795277,0.771483672,0.697043672,0.835872644,0.753671234
0.565646212,0.771483672,0.584840254,0.451222049,0.890852246,0.753671234,0.695566577,0.669106187,0.771483672
0.634817633,0.753671234,0.835872644,0.445737938,0.67959928,0.753671234,0.358851838,0.669106187,0.771483672
0.542028844,1,0.771483672,0.544334595,0.689940614,0.771483672,0.607624254,0.753671234,0.577612692
0.463658771,1,0.835872644,0.549868467,0.771483672,0.677355313,1,0.749886533,0.771483672
0.460769767,0.684830813,0.657148292,0.678538392,0.738229555,0.602446115,0.695566577,0.753671234,0.800417827
0.545612616,0.915600728,0.650795277,0.558502627,0.753671234,0.623731064,0.460769767,0.669106187,0.771483672
0.463841086,0.753671234,0.835872644,0.735830207,1,1,0.913312297,0.650795277,0.771483672
0.538410355,0.753671234,0.771483672,0.461785318,0.753671234,0.554573525,0.525575622,0.915600728,0.771483672
0.512817138,0.669106187,0.771483672,0.60230236,1,0.74079781,0.558502627,0.669106187,1
0.530358011,0.890852246,0.835872644,0.886029885,0.753671234,0.835872644,0.464825948,0.835872644,0.773525066
0.915600728,0.835872644,0.771483672,0.784081279,0.753671234,0.835872644,0.470753983,0.669106187,0.771483672
0.508762243,1,0.738229555,0.422496232,0.753671234,0.835872644,0.735830207,0.753671234,0.771483672
0.519434382,0.773525066,0.771483672,0.36778983,0.773525066,0.771483672,0.30431118,0.669106187,0.753671234
0.510691902,0.623731064,0.604322934,0.529605577,0.771483672,0.56226713,0.545612616,0.753671234,0.835872644
0.508762243,0.753671234,0.960224871,0.468638282,0.881189179,0.753671234,0.509750164,0.753671234,0.771483672
0.6735742,1,0.753671234,0.396533074,0.881189179,0.771483672,0.35782636,0.800417827,0.771483672
0.36778983,1,0.753671234,0.543403331,0.753671234,0.771483672,0.545099394,0.835872644,0.776319813
0.364234479,0.753671234,0.771483672,0.658176446,0.669106187,0.704025758,0.508762243,0.835872644,1
0.526628747,0.835872644,0.773525066,0.470753983,0.738229555,0.669106187,0.510691902,0.657148292,0.5568429
0.695566577,0.669106187,0.566107559,0.470753983,0.771483672,0.723693864,0.59526038,0.67959928,0.753671234
0.435520046,0.835872644,0.771483672,0.524222786,0.684830813,0.82786617,0.37726731,0.800417827,0.800417827
0.512817138,0.669106187,0.771483672,0.509750164,0.741144614,0.800417827,0.471686452,0.915600728,0.778233264
0.695566577,0.773525066,0.669106187,0.510691902,1,0.684830813,0.605916858,1,1
1,0.669106187,0.622511209,0.452654272,0.753671234,0.753671234,0.651636485,0.753671234,0.669106187
0.421833325,0.753671234,0.753671234,0.345313102,0.753671234,0.753671234,0.511690768,0.890852246,0.463841086
0.307898724,0.753671234,0.67959928,0.731219301,0.771483672,0.771483672,0.510691902,0.801098893,0.56226713
0.5568429,1,0.753671234,0.463841086,0.753671234,0.753671234,0.510691902,0.835872644,0.835872644
0.695566577,0.753671234,0.753671234,0.695566577,0.773525066,0.771483672,0.461995309,0.753671234,0.771483672
0.364234479,0.622511209,0.773525066,0.530205893,0.753671234,0.753671234,0.695566577,0.771483672,0.753671234
0.565646212,0.669106187,0.753671234,0.535483739,0.835872644,0.603119121,0.5568429,0.773525066,0.490989041
0.508762243,0.881189179,0.801098893,0.447093675,0.726881098,0.753671234,0.545612616,0.753671234,0.726881098
1,0.753671234,0.463841086,0.511690768,0.773525066,0.677355313,0.678750913,0.753671234,0.684830813
0.535483739,0.835872644,0.771483672,0.584840254,1,0.771483672,0.8278482,0.771483672,0.753671234
0.724625136,0.650795277,0.726881098,0.545412818,0.519434382,0.753671234,0.464825948,0.753671234,0.666361255
0.8278482,0.753671234,0.753671234,0.510691902,0.881189179,0.753671234,0.432601046,0.881189179,0.753671234
0.508762243,0.773525066,0.753671234,0.913312297,0.726881098,0.773525066,0.526628747,0.753671234,0.503675184
0.519434382,0.773525066,0.753671234,0.461785318,0.835872644,0.753671234,0.526628747,0.823718234,0.684830813
0.519434382,0.726881098,0.835872644,0.559524534,0.881189179,0.771483672,0.411742532,0.753671234,0.753671234
0.526628747,1,0.771483672,0.629437131,0.881189179,0.835872644,0.695566577,0.753671234,0.5568429
0.678255533,0.753671234,0.753671234,0.8278482,0.890852246,0.771483672,0.659674127,0.835872644,0.753671234
0.530689572,0.915600728,0.74079781,0.666361255,0.753671234,0.753671234,0.481787244,1,0.742758007
0.735830207,0.881189179,0.771483672,0.633469632,0.881189179,0.771483672,0.695566577,0.773525066,0.510691902
0.508762243,0.684830813,0.753671234,0.461785318,0.738229555,0.584840254,0.695566577,0.726881098,0.771483672
0.463841086,0.773525066,0.771483672,0.633469632,0.753671234,0.835872644,0.519434382,0.771483672,0.753671234
0.412968736,1,0.773525066,0.460769767,0.753671234,0.835872644,0.519434382,0.669106187,0.738229555
0.558502627,0.753671234,0.771483672,0.371119755,0.890852246,0.753671234,0.533178189,0.881189179,1
0.784081279,0.753671234,0.753671234,0.563996612,0.81996704,0.505800045,1,0.622511209,0.771483672
0.396533074,0.753671234,0.753671234,0.718080991,0.753671234,0.753671234,0.344547971,0.773525066,0.753671234
0.470753983,0.881189179,0.771483672,0.422496232,0.835872644,0.633383209,0.735830207,0.802625702,0.753671234
0.519434382,1,0.657148292,0.411742532,0.773525066,0.771483672,0.711882678,0.753671234,0.771483672
0.695566577,0.669106187,1,0.436558338,0.753671234,0.753671234,0.558502627,0.881189179,0.669106187
0.544334595,0.835872644,0.835872644,0.507468254,0.835872644,0.526628747,0.538410355,0.881189179,0.753671234
0.307898724,0.773525066,0.771483672,0.543403331,0.753671234,0.771483672,0.695566577,0.835872644,0.753671234
0.629437131,0.835872644,0.771483672,0.478515133,0.835872644,0.678953259,0.389442535,0.669106187,0.669106187
0.666361255,0.741144614,0.771483672,0.503675184,0.753671234,0.753671234,0.510691902,0.753671234,0.835872644
0.695566577,0.835872644,0.753671234,0.457958926,0.61929124,0.771483672,0.555354732,0.753671234,0.835872644
0.511690768,0.684830813,0.726881098,0.479424714,0.753671234,0.753671234,0.545612616,0.669106187,0.771483672
0.509750164,0.753671234,0.876608978,0.460769767,0.738229555,0.6735742,0.666361255,0.771483672,0.650795277
0.543403331,1,0.771483672,0.460769767,0.881189179,0.835872644,0.519434382,0.753671234,0.684830813
0.511690768,0.773525066,0.771483672,0.421833325,0.669106187,0.738229555,0.530205893,0.773525066,0.801098893
0.651636485,0.881189179,0.753671234,0.544334595,0.623731064,0.503675184,0.513164882,0.835872644,0.333772338
0.635269508,0.753671234,0.753671234,0.496511317,0.753671234,0.329218584,0.470753983,0.669106187,0.650795277
0.50372923,0.800417827,0.738229555,0.648733453,0.753671234,0.771483672,0.491949625,0.753671234,0.753671234
0.584840254,0.915600728,0.614151184,0.666361255,0.881189179,0.666361255,0.510691902,0.753671234,0.753671234
0.519434382,0.915600728,0.771483672,0.695566577,0.684830813,0.835872644,0.527794976,0.773525066,0.463841086
0.519434382,0.753671234,0.526628747,0.50372923,0.738229555,0.704025758,0.575628722,0.669106187,0.623731064
1,0.669106187,0.753671234,0.519434382,0.835872644,0.753671234,0.666361255,1,0.753671234
0.498492593,0.669106187,0.778233264,0.519434382,0.753671234,0.753671234,0.525575622,0.773525066,0.753671234
0.666361255,0.726881098,0.753671234,0.510691902,0.773525066,0.771483672,0.510691902,0.771483672,0.657927206
0.644916116,0.753671234,0.801098893,0.913312297,0.773525066,0.543403331,0.519434382,0.623731064,0.753671234
0.386492877,0.881189179,0.835872644,0.544334595,0.753671234,0.753671234,0.584840254,0.835872644,0.753671234
0.564018291,0.881189179,0.753671234,0.519434382,0.753671234,0.753671234,0.543134402,0.881189179,0.771483672
0.666361255,0.753671234,0.835872644,0.759547302,0.801098893,0.771483672,0.480101194,0.669106187,0.738229555
0.535483739,0.623731064,0.835872644,0.516515909,0.835872644,0.657148292,0.630652083,0.773525066,0.726881098
0.525575622,0.669106187,0.657148292,0.773525066,0.753671234,0.771483672,0.735830207,0.800417827,0.771483672
0.651636485,0.773525066,0.657927206,0.460769767,0.753671234,0.835872644,0.503675184,0.753671234,1
0.460769767,0.684830813,0.669106187,0.399804185,0.723693864,0.835872644,0.332967902,0.753671234,0.664248818
0.562577536,0.669106187,0.771483672,0.525575622,0.835872644,0.386668729,0.526628747,0.753671234,0.753671234
0.575122142,1,0.657927206,0.404717758,0.890852246,0.741144614,0.344547971,0.881189179,0.835872644
0.392943771,1,0.543403331,0.523924529,0.773525066,0.771483672,0.667208221,0.881189179,0.677355313
0.584840254,0.684830813,0.753671234,0.496511317,0.738229555,1,0.535483739,1,1
0.509750164,0.753671234,0.876608978,0.635269508,0.753671234,0.835872644,0.364234479,0.881189179,0.771483672
0.590459125,0.753671234,0.835872644,0.391302226,0.753671234,0.526628747,0.500613993,0.835872644,0.753671234
0.654635861,0.773525066,0.771483672,0.463841086,0.771483672,0.753671234,0.555038403,0.890852246,0.684830813
0.584840254,0.771483672,0.771483672,0.558502627,0.741144614,0.771483672,0.36778983,0.915600728,0.352472304
0.744374862,0.773525066,0.771483672,0.528042323,0.881189179,0.771483672,0.758771289,0.890852246,0.753671234
0.348805581,0.881189179,0.753671234,0.524222786,0.669106187,0.669106187,0.558502627,0.890852246,0.835872644
0.511690768,0.881189179,0.669106187,0.735830207,0.753671234,0.666361255,0.666361255,0.669106187,1
0.530205893,1,0.753671234,0.459856646,0.771483672,0.657927206,0.512817138,1,0.771483672
0.558502627,0.684830813,0.771483672,0.666361255,0.753671234,0.771483672,0.558502627,0.881189179,0.773525066
0.443417747,0.753671234,0.771483672,0.467784403,0.915600728,0.669106187,0.479424714,0.890852246,0.771483672
0.695566577,0.753671234,0.718054345,0.5568429,0.753671234,0.835872644,0.544334595,0.726881098,0.773525066
0.544334595,0.669106187,0.726881098,0.510691902,0.753671234,0.657148292,0.443951468,0.771483672,0.753671234
0.512817138,0.753671234,0.753671234,0.334726706,0.881189179,0.6735742,0.575120625,0.684830813,0.526628747
0.460769767,0.753671234,0.518861306,0.519434382,0.753671234,0.815094826,1,0.881189179,0.835872644
0.334726706,0.753671234,0.669106187,0.504094509,0.622511209,0.74079781,0.5568429,0.835872644,0.773525066
0.510691902,0.773525066,0.753671234,0.480101194,0.835872644,0.669106187,0.510691902,0.741144614,0.771483672
0.8278482,0.800417827,0.835872644,0.495494619,0.835872644,0.771483672,0.530205893,1,0.650795277
0.633469632,0.915600728,0.835872644,0.666361255,0.835872644,0.753671234,0.508762243,0.771483672,0.771483672
0.513164882,0.773525066,0.633383209,0.461785318,0.753671234,0.753671234,0.629437131,0.753671234,0.771483672
0.564018291,0.835872644,0.753671234,0.633469632,0.771483672,0.835872644,0.636967204,0.771483672,0.684830813
0.461995309,0.669106187,0.771483672,0.498492593,1,0.734833553,0.545612616,0.753671234,0.801098893
0.5568429,0.835872644,0.835872644,0.658176446,1,0.753671234,0.285466548,0.881189179,0.726881098
0.519434382,0.669106187,0.677355313,0.510691902,1,0.623731064,0.509750164,0.669106187,0.666361255
0.633469632,0.835872644,0.835872644,0.5568429,0.835872644,0.773525066,0.519434382,1,0.753671234
0.307898724,1,0.773525066,0.585085028,0.835872644,0.771483672,0.695566577,0.753671234,0.527686383
0.666361255,0.753671234,0.738229555,0.695566577,0.753671234,0.753671234,0.579686523,0.881189179,0.753671234
0.510691902,0.669106187,0.510691902,0.519434382,0.835872644,0.684830813,0.463841086,0.771483672,0.669106187
0.519434382,0.890852246,0.753671234,0.508762243,0.726881098,0.753671234,0.695566577,0.915600728,0.835872644
0.651636485,0.835872644,0.738229555,0.241304008,0.881189179,1,0.426703872,0.738229555,0.753671234
0.8278482,0.771483672,0.684830813,0.558502627,0.800417827,0.753671234,0.460769767,1,0.657927206
0.526628747,1,1,0.555354732,0.881189179,0.771483672,0.519434382,0.753671234,0.753671234
0.544334595,0.753671234,0.753671234,0.539096311,0.835872644,0.753671234,0.509750164,0.669106187,0.771483672
0.327879909,0.753671234,0.61929124,0.510691902,0.669106187,0.835872644,0.460769767,0.881189179,0.753671234
0.759547302,0.726881098,0.666361255,0.5568429,0.669106187,0.753671234,0.510691902,1,0.753671234
0.8278482,0.684830813,1,0.784081279,0.915600728,0.503675184,0.5568429,0.684830813,0.657148292
0.460769767,0.771483672,0.5568429,0.5568429,0.738229555,0.559930409,0.461785318,0.60873939,0.771483672
0.530205893,0.773525066,0.650795277,0.513164882,1,0.753671234,0.461785318,0.684830813,0.771483672
0.59526038,0.771483672,0.518861306,0.510691902,0.753671234,0.669106187,0.524222786,0.835872644,0.773525066
0.678255533,1,0.623731064,0.666361255,0.669106187,0.614726581,0.759547302,0.669106187,0.74079781
0.759547302,0.669106187,0.771483672,0.544334595,1,0.510691902,0.558502627,0.835872644,0.771483672
0.519434382,0.753671234,0.753671234,0.915600728,0.753671234,0.753671234,0.519221246,0.915600728,0.835872644
0.8278482,0.753671234,0.960224871,0.526628747,0.915600728,0.776319813,0.460769767,0.753671234,0.773525066
0.510691902,0.738229555,0.74079781,0.678750913,0.771483672,0.771483672,0.695566577,0.753671234,0.738229555
0.52957491,0.915600728,0.666361255,0.666361255,0.753671234,0.657148292,0.307898724,0.800417827,0.753671234
0.508903459,0.753671234,0.771483672,0.513164882,0.890852246,0.835872644,0.392902052,0.771483672,0.526628747
0.60378396,0.753671234,0.778233264,0.36778983,0.835872644,0.800417827,0.584840254,0.669106187,0.684830813
0.545099394,0.771483672,0.726881098,0.554647104,0.915600728,0.669106187,0.544334595,0.753671234,0.74926704
0.633469632,0.773525066,0.773525066,0.521922691,0.753671234,0.835872644,0.519434382,0.753671234,0.623731064
0.499880279,0.726881098,0.835872644,0.695566577,0.753671234,0.648251266,0.819288068,0.835872644,0.771483672
0.48862326,0.881189179,0.657148292,0.375553906,0.465079797,0.771483672,0.510691902,0.881189179,0.753671234
0.359081479,1,0.753671234,0.695566577,0.800417827,0.669106187,0.426703872,1,0.753671234
0.526628747,0.753671234,0.800417827,0.307898724,0.835872644,0.753671234,0.651636485,0.753671234,1
0.543403331,0.657148292,0.753671234,0.530205893,0.773525066,0.657927206,0.545612616,0.835872644,0.623731064
0.542799602,1,0.771483672,0.519434382,0.669106187,0.63452097,0.5568429,0.669106187,0.773525066
0.633469632,0.890852246,0.835872644,0.510691902,0.638160028,0.753671234,0.460769767,0.773525066,0.800417827
0.354904667,0.753671234,0.684830813,0.496511317,0.669106187,0.773525066,0.512817138,0.771483672,1
0.672042776,0.835872644,0.771483672,0.396533074,0.669106187,0.669106187,0.491949625,1,0.783218767
0.519434382,0.881189179,0.643167154,0.662208705,0.773525066,0.771483672,0.48418976,0.718054345,0.738155736
0.545099394,0.623731064,0.771483672,0.540488239,0.669106187,0.669106187,0.695566577,0.753671234,0.76453943
0.460769767,0.771483672,0.823718234,0.447545044,0.890852246,0.771483672,0.510691902,0.771483672,0.771483672
0.348769365,0.669106187,0.669106187,0.509750164,0.753671234,0.623731064,0.463658771,0.711683197,0.738229555
0.447093675,0.753671234,0.669106187,0.695566577,1,0.800417827,0.784081279,0.773525066,0.753671234
0.519434382,1,0.633383209,0.301158448,0.771483672,0.74079781,0.6807155,0.669106187,0.753671234
0.443951468,0.881189179,0.753671234,0.467114804,0.753671234,0.669106187,0.8278482,0.753671234,0.666361255
0.735830207,0.753671234,0.835872644,0.524228984,1,0.753671234,0.411742532,0.753671234,1
0.545612616,0.881189179,0.771483672,0.508762243,0.669106187,0.771483672,0.519434382,0.881189179,0.657148292
0.443291872,0.669106187,0.656141375,0.513164882,1,0.584840254,0.566175726,0.773525066,0.753671234
0.564018291,0.753671234,0.771483672,0.784081279,0.669106187,0.753671234,0.519434382,0.753671234,0.835872644
0.460769767,0.669106187,0.771483672,0.155015377,0.669106187,0.704025758,0.519434382,0.835872644,0.753671234
0.509750164,0.669106187,0.771483672,0.501367592,0.771483672,0.771483672,0.519434382,0.633383209,0.800417827
0.464180446,0.753671234,0.835872644,1,0.753671234,0.771483672,0.695566577,0.684830813,0.584840254
0.526628747,0.771483672,0.835872644,0.579970199,0.881189179,0.835872644,0.527721487,0.753671234,0.61929124
0.519434382,0.738229555,0.771483672,0.633469632,0.726881098,0.62694252,0.509750164,0.890852246,0.684830813
0.496511317,0.669106187,1,0.519434382,0.881189179,1,0.460769767,0.802625702,0.771483672
0.543403331,0.773525066,0.753671234,0.509750164,0.771483672,0.700239666,0.558502627,1,0.753671234
0.558502627,0.753671234,0.669106187,0.655763279,0.800417827,0.753671234,0.621125513,0.890852246,0.623731064
0.549868467,0.669106187,0.753671234,0.5568429,1,0.753671234,0.460769767,0.669106187,0.753671234
0.327879909,0.835872644,0.623731064,1,0.753671234,0.503298175,0.465079797,0.881189179,0.835872644
0.695566577,0.835872644,0.771483672,0.735830207,0.881189179,0.753671234,0.519434382,0.753671234,0.753671234
0.666361255,0.684830813,0.773525066,0.58077395,0.835872644,0.960224871,0.536050265,0.881189179,0.684830813
0.563996612,0.669106187,0.669106187,0.359455353,0.835872644,0.726881098,0.584290167,0.881189179,0.771483672
0.525306322,0.669106187,0.771483672,0.364234479,0.773525066,0.835872644,0.584840254,0.753671234,0.753671234
0.519434382,0.881189179,0.669106187,0.509750164,0.835872644,0.61929124,0.526628747,0.753671234,0.566107559
0.695566577,1,0.771483672,0.543403331,0.738229555,0.726881098,0.276388073,0.753671234,0.771483672
0.457958926,0.915600728,0.753671234,0.411742532,0.753671234,0.876608978,0.544334595,0.773525066,1
0.519434382,0.890852246,0.669106187,0.28017612,1,0.835872644,0.508762243,0.771081148,0.771483672
0.501367592,0.881189179,0.558519063,0.520492635,0.753671234,0.738229555,0.440651485,0.890852246,0.584840254
1,0.726881098,0.771483672,0.5568429,0.800417827,0.5568429,0.511690768,0.835872644,0.835872644
0.740710433,0.753671234,0.753671234,0.5568429,0.622511209,0.835872644,0.443951468,0.753671234,0.773525066
0.658176446,0.881189179,1,0.510691902,0.643167154,0.738229555,0.584840254,1,0.771483672
0.510691902,0.890852246,0.771483672,0.735830207,0.881189179,0.876608978,0.345313102,0.753671234,0.753671234
0.558519063,0.773525066,0.753671234,0.54143386,0.835872644,1,1,0.915600728,0.801098893
0.658176446,0.669106187,0.753671234,0.735830207,0.881189179,0.835872644,0.443291872,0.881189179,0.74079781
0.519434382,0.881189179,0.669106187,0.545612616,0.835872644,0.802625702,0.494477151,0.771483672,0.771483672
0.530205893,0.771483672,0.669106187,0.526628747,0.771483672,0.753671234,0.36778983,0.835872644,0.771483672
0.547166932,1,0.503675184,0.512817138,0.915600728,1,0.411742532,0.753671234,0.74079781
0.463841086,0.835872644,0.753671234,0.885903887,0.753671234,0.835872644,0.575120625,0.669106187,0.378064355
0.373443035,0.835872644,0.753671234,0.519434382,0.773525066,0.771483672,0.510691902,0.771483672,0.773525066
0.460769767,0.669106187,0.771483672,0.666361255,0.881189179,0.753671234,0.438438438,0.753671234,1
0.564018291,0.753671234,1,0.258485029,0.881189179,1,0.565646212,0.881189179,0.657148292
0.584840254,0.881189179,0.669106187,0.584840254,0.669106187,0.771483672,0.463841086,1,0.74079781
0.510691902,0.881189179,0.773525066,0.510691902,0.753671234,0.797843311,0.633469632,0.835872644,0.771483672
0.651636485,1,0.773525066,0.5568429,0.881189179,0.753671234,0.735830207,0.753671234,0.498795556
0.584840254,0.835872644,0.771483672,0.5568429,0.881189179,0.813500422,0.470753983,0.915600728,0.835872644
0.423658215,0.835872644,0.753671234,0.392902052,0.753671234,0.771483672,0.510691902,0.773525066,0.753671234
0.555038403,0.881189179,0.584611403,0.452549008,0.669106187,0.669106187,0.411742532,0.738229555,0.753671234
0.506594115,0.881189179,0.753671234,0.584840254,0.669106187,0.650795277,0.526628747,0.800417827,0.771483672
0.545612616,0.753671234,0.876608978,0.584840254,0.753671234,0.753671234,0.731219301,1,0.753671234
0.712375115,0.773525066,0.753671234,0.666361255,0.742758007,0.741144614,1,1,0.753671234
0.364234479,0.773525066,0.771483672,0.496511317,0.684830813,0.650795277,0.538410355,0.753671234,1
0.503675184,1,0.778233264,0.513164882,0.669106187,0.753671234,0.509750164,0.773525066,0.753671234
0.683389603,0.753671234,0.684830813,0.535483739,0.669106187,0.771483672,0.651636485,0.881189179,0.771483672
0.545612616,0.881189179,0.753671234,0.545612616,0.881189179,0.813500422,0.503675184,0.771483672,0.771483672
0.519434382,0.753671234,0.623731064,0.460769767,0.915600728,0.771483672,0.526628747,0.669106187,0.669106187
0.538410355,0.771483672,0.753671234,0.545612616,0.835872644,0.465079797,0.497188055,1,0.657927206
0.391813378,0.881189179,0.753671234,0.519434382,0.915600728,0.773525066,1,0.881189179,0.576710491
0.651636485,0.771483672,0.773525066,0.511107602,1,0.669106187,0.651636485,0.749886533,0.773525066
0.584840254,0.773525066,0.771483672,0.510691902,0.684830813,0.835872644,0.644916116,0.753671234,0.771483672
0.695566577,0.753671234,0.800417827,0.553500741,0.724625136,0.650795277,0.510691902,0.753671234,0.835872644
0.344547971,0.669106187,0.803028278,0.510691902,0.638160028,0.753671234,0.633469632,0.669106187,0.753671234
