ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
1,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,clustering,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,centrality,reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
